S/NO.,gage_id,gage_desc,gage_brand,gage_rance,gage_slno,gage_calib_metho,tolerance,calib_date,calib_interval,calb_interval_unit,calib_due_date,clib_agency,calib_cert_no,gage_location,remarks,comments,master_gage_slno,master_gage_cert_no,master_gage_valid_date,temp1,temp2
206,M-0303,DIAL CALIPER,MITUTOYO," 0"" - 12""",19506454,QCD/TRSG/PROCEDURE 008 / TRSG/QM/001/20 / ISO 3611:2010,BS 887 / JIS B 7507 OR PER MANUFACTURER SPECIFICATION,2022-09-02,1,Years,2023-09-02,TRESCAL,SALDM/1462/7/22,Machine Shop (VTCA2),TRUE,,"18640 (E81)
1510008
SML/PG-IN/001","SALDM/1010/2/21
SALDM/1681/2/21
SALDM/1883/2/21","11.08.2023
03.11.2022
22.11.2022",2022-11-15,2023-08-19
207,M-0304,DIAL CALIPER,MITUTOYO," 0"" - 12""",19506564,QCD/TRSG/PROCEDURE 008 / TRSG/QM/001/20 / ISO 3611:2010,BS 887 / JIS B 7507 OR PER MANUFACTURER SPECIFICATION,2022-09-02,1,Years,2023-09-02,TRESCAL,SALDM/1462/8/22,Machine Shop (HBMB3),TRUE,,"18640 (E81)
1510008
SML/PG-IN/001","SALDM/1010/2/21
SALDM/1681/2/21
SALDM/1883/2/21","11.08.2023
03.11.2022
22.11.2022",2022-11-15,2023-08-19
208,M-0305,TEMPERATURE & HUMIDITY DATALOGGER,RS-PRO,-,210508508,CTTM-T17-2007,REFER TO CERT,2021-11-25,1,Years,2022-11-25,CALTEK,CTT-111-3825-21,M/S GAUGE ROOM,FALSE,,,,,2022-11-15,2022-11-11
209,OM-122,EXTERNAL MICROMETER,MITUTOYO," 0"" - 6""",87152498,QCD/TRSG/PROCEDURE 005 / TRSG/QM/001/20,BS 870 / ISO 3611 OR PER MANUFACTURER SPECIFICATION,2021-09-27,1,Years,2022-09-27,TRESCAL,SALDM/1356/2/21,QC GAUGE ROOM - E,FALSE,,,,,2022-11-15,2022-09-13
210,OM-124,EXTERNAL MICROMETER,MITUTOYO,"18"" - 24""",9000179,QCD/TRSG/PROCEDURE 005 / TRSG/QM/001/20 / ISO 3611:2010,"± 0.0006""
(BS 870 / ISO 3611 OR PER MANUFACTURER SPECIFICATION)",2022-04-30,1,Years,2023-04-30,TRESCAL,SALDM/0699/1/22,QC GAUGE ROOM - E,TRUE,,"1306618
18640
T22349
309673","14489
SALDM/1010/2/21
SALDM/2107/2/21
SALDM/0036/13/22","24.11.2022
11.08.2023
17.12.2022
07.01.2023",2022-11-15,2023-04-16
211,OM-125,EXTERNAL MICROMETER,MITUTOYO,"24"" - 30""",9002880,QCD/TRSG/PROCEDURE 005 / TRSG/QM/001/20,BS 870 / ISO 3611 OR PER MANUFACTURER SPECIFICATION,2021-11-10,1,Years,2022-11-10,TRESCAL,SALDM/1709/4/21,M/S GAUGE ROOM M11,FALSE,,,,,2022-11-15,2022-10-27
212,OM-126,EXTERNAL MICROMETER,MITUTOYO,"6"" - 12""",87178648,MDCP-01:2020 / MDCP-34:2020,BS 870 / ISO 3611 OR PER MANUFACTURER SPECIFICATION,2021-10-14,1,Years,2022-10-14,Ming Deng,MDL213166-10,M/S GAUGE ROOM M13,FALSE,,,,,2022-11-15,2022-09-30
213,PG-047P,"THREAD PLUG GAUGE
(GO & NO GO)",THREADMASTER,"3/4"" - 10 UNC - 2B",97145,QCD/TRSG/PROCEDURE 014 /  TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-07-12,1,Years,2023-07-12,TRESCAL,SALDM/1087/1/22,M/S GAUGE ROOM H23,TRUE,,"18641 (M112)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/1/21
SALDM/1074/3/21
SALDM/0624/1/22","06.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-06-28
214,PG-365,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"3-3/4""  - 8 UN - 2B",MTG32402,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-09-30,1,Years,2022-09-30,TRESCAL,SALDM/1356/6/21,QC GAUGE ROOM - D,FALSE,,,,,2022-11-15,2022-09-16
215,PG-392 & PG-393,"PLUG GAUGE 
(GO & NO GO)",PMC MERCURY,5-1/2“ - 4 STUB ACME - 2G,MTG33096,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-09-30,1,Years,2022-09-30,TRESCAL,SNLDM/0285/2/21,QC GAUGE ROOM - H,FALSE,,,,,2022-11-15,2022-09-16
216,Q-005,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,7/8“ - 9 UNC - 2B,90655,MDCP-15:2020,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-01-05,1,Years,2023-01-05,Ming Deng,MDL214096-15,M/S GAUGE ROOM H16,TRUE,NOT REQUIRED CALIBRATION,,,,2022-11-15,2022-12-22
217,Q-011,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,1-1/4” - 7 UNC - 2B,90563,MDCP-15:2020,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-01-05,1,Years,2023-01-05,Ming Deng,MDL214096-16,QC GAUGE ROOM - I,TRUE,,,,,2022-11-15,2022-12-22
218,Q-012,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"1-1/2"" - 6 UNC - 2B",90568,MDCP-15:2020,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-01-05,1,Years,2023-01-05,Ming Deng,MDL214096-6,QC BAY C TROLLY 1 L3,TRUE,,,,,2022-11-15,2022-12-22
219,Q-014,PLUG GAUGE (GO & NO GO),,"3/4"" - 16 UNF - 2B",1-800-767-7633,,"± 0.001""",2020-12-02,1,Years,2021-12-02,,,M/S GAUGE ROOM H29,HOLD,,,,,2022-11-15,2021-11-18
220,Q-026,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"1-3/8"" - 8 UN - 2B",90565,MDCP-15:2020,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-01-05,1,Years,2023-01-05,Ming Deng,MDL214096-17,QC BAY C TROLLY 1 L3,TRUE,,,,,2022-11-15,2022-12-22
221,Q-029,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"1-5/8""  - 8 UN - 2B ",90572,MDCP-15:2020,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-01-05,1,Years,2023-01-05,Ming Deng,MDL214096-7,QC GAUGE ROOM - D,TRUE,,,,,2022-11-15,2022-12-22
222,Q-030,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"1-3/4"" - 8 UN - 2B",90573,MDCP-15:2020,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-01-05,1,Years,2023-01-05,Ming Deng,MDL214096-13,QC GAUGE ROOM - D,TRUE,,,,,2022-11-15,2022-12-22
223,Q-032,PLUG GAUGE (GO & NO GO),,"2"" - 8 UN - 2B",90579,,"± 0.001""",2020-12-21,1,Years,2021-12-21,,,M/S GAUGE ROOM H14,HOLD,,,,,2022-11-15,2021-12-07
224,Q-034,PLUG GAUGE (GO & NO GO),THREAD CHECK INC,"2-1/4""  - 8 UN - 2B",7633,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"± 0.001""",2022-05-05,1,Years,2023-05-05,TRESCAL,SALDM/0675/63/22,QC GAUGE ROOM - D,SCRAPPED,,"18640
0101
000211509","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-04-21
225,Q-037,"PLUG GAUGE 
(GO & NO GO)",THREAD CHECK INC,"2-1/2"" - 8 UN - 2B",-,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-12-30,1,Years,2022-12-30,TRESCAL,SALDM/2184/17/21,M/S GAUGE ROOM H20,TRUE,,,,,2022-11-15,2022-12-16
226,Q-039,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"2-7/8"" - 8 UN - 2B",90656,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-12-29,1,Years,2022-12-29,TRESCAL,SALDM/2184/13/21,M/S GAUGE ROOM H5,TRUE,,,,,2022-11-15,2022-12-15
227,Q-040,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"2-7/8"" - 8 UN - 2B",8048,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-12-30,1,Years,2022-12-30,TRESCAL,SALDM/2184/16/21,QC GAUGE ROOM - D,TRUE,,,,,2022-11-15,2022-12-16
228,Q-042 & Q-042A,"PLUG GAUGE 
(GO & NO GO)","3-3/8"" - 8 UN - 2B ","3-3/8"" - 8 UN - 2B",90657,"QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20 / 
ANSI/ASME B1.2-1983","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-05-07,1,Years,2023-05-07,TRESCAL,SALDM/0699/11/22,M/S GAUGE ROOM C15 & C16,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-04-23
229,Q-043 & Q-043A,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"3-3/8"" - 8 UN - 2B ",90595,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-11-25,1,Years,2022-11-25,TRESCAL,SALDM/1918/4/21,QC GAUGE ROOM - D,FALSE,,,,,2022-11-15,2022-11-11
230,Q-044 & Q-045,"PLUG GAUGE 
(GO & NO GO)","3-3/8"" - 8 UN - 2B ","3-3/8"" - 8 UN - 2B",-,"QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20 / 
ANSI/ASME B1.2-1983","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-05-07,1,Years,2023-05-07,TRESCAL,SALDM/0699/10/22,M/S GAUGE ROOM C12 & C13,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-04-23
231,Q-046 & Q-046A,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"3.500"" - 8 UN - 2B",90597,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-11-25,1,Years,2022-11-25,TRESCAL,SALDM/1918/3/21,QC GAUGE ROOM - D,FALSE,,,,,2022-11-15,2022-11-11
232,Q-047 & Q-048,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"3-1/2"" - 8 UN - 2B",-,"QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20 / 
ANSI/ASME B1.2-1983","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-05-07,1,Years,2023-05-07,TRESCAL,SALDM/0699/9/22,M/S GAUGE ROOM C9 & C10,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-04-23
233,Q-052 & Q-053,"PLUG GAUGE 
(GO & NO GO)",THREAD CHECK INC,"4-1/2""  - 8 UN - 2B",-,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-12-27,1,Years,2022-12-27,TRESCAL,SALDM/0384/1/21,M/S GAUGE ROOM C1 & C2,TRUE,,,,,2022-11-15,2022-12-13
234,Q-054 & Q-054A,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"4-1/2"" - 8 UN - 2B",90599,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-11-06,1,Years,2022-11-06,TRESCAL,SALDM/0322/3/21,QC GAUGE ROOM - D,FALSE,,,,,2022-11-15,2022-10-23
235,Q-055 & Q-055A,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"4-3/4"" - 8 UN - 2B",90600,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-11-06,1,Years,2022-11-06,TRESCAL,SNLDM/0322/2/21,QC GAUGE ROOM - D,FALSE,,,,,2022-11-15,2022-10-23
236,Q-056 & Q-056A,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,5.250”  - 8 UN - 2B ,90601,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-09-05,1,Years,2023-09-05,TRESCAL,SNLDM/0222/1/22,M/S GAUGE ROOM C11 & C14,TRUE,,,,,2022-11-15,2023-08-22
237,Q-058 & Q-058A,"PLUG GAUGE 
(GO & NO GO)",PMC MERCURY,"5-3/4"" - 4 STUB ACME - 2G",-,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-11-06,1,Years,2022-11-06,TRESCAL,SNLDM/0322/4/21,QC GAUGE ROOM - H,FALSE,,,,,2022-11-15,2022-10-23
238,Q-077,PLUG GAUGE,THREAD CHECK INC,"1/8"" - 27 NPT",-,"QCD/TRSG/PROCEDURE 030 / TRSG/QM/001/20 / 
ANSI/ASME B1.20.5-1991","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-05-09,1,Years,2023-05-09,TRESCAL,SALDM/0699/15/22,M/S GAUGE ROOM H37,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-04-25
239,Q-079,PLUG GAUGE,THREAD CHECK INC,"1/4"" - 18 NPT",1-800-767-7633,"QCD/TRSG/PROCEDURE 030 / TRSG/QM/001/20 / 
ANSI/ASME B1.20.5-1991","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-05-07,1,Years,2023-05-07,TRESCAL,SALDM/0699/12/22,QC GAUGE ROOM - I,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-04-23
240,Q-081,PLUG GAUGE,THREADMASTER,"3/8"" - 18 NPT",90636,QCD/TRSG/PROCEDURE 030 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-12-30,1,Years,2022-12-30,TRESCAL,SALDM/2184/18/21,QC BAY C TROLLY 1 L3,TRUE,,,,,2022-11-15,2022-12-16
241,Q-090,PLUG GAUGE,THREAD CHECK INC,"1"" - 11-1/2 NPT",1-800-767-7633,QCD/TRSG/PROCEDURE 030 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-12-30,1,Years,2022-12-30,TRESCAL,SALDM/2184/19/21,QC BAY C TROLLY 1 L3,TRUE,,,,,2022-11-15,2022-12-16
242,Q-091 & Q-092,"PLUG GAUGE 
(GO & NO GO)",THREAD CHECK INC,"4-3/4"" - 8 UN - 2B",-,"QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20 / 
ANSI/ASME B1.2-1983","ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-05-07,1,Years,2023-05-07,TRESCAL,SNLDM/0111/1/22,M/S GAUGE ROOM C17 & C22,TRUE,,"18640 (E81)
0101 (600.2)
000211509 (PH-3515F)","SALDM/1010/2/21
SALDM/1074/3/21
SALDM/0624/1/22","11.08.2023
12.08.2023
19.04.2023",2022-11-15,2023-04-23
243,Q-096 & Q-096A,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"5.750"" - 8 UN - 2B ",90602,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-09-05,1,Years,2023-09-05,TRESCAL,SNLDM/0222/2/22,M/S GAUGE ROOM C3 & C6,TRUE,,,,,2022-11-15,2023-08-22
244,Q-100A,BRINELL MICROSCOPE,BRINELL,-,11053,CP-E10-02-REV 0 / ASTM E10-18 / ASTM E110-14,ASTM E10 (TABLE 2),2021-11-11,1,Years,2022-11-11,SUNRICH,Q-100A-21,QC BAY C CABINET 1 L3,FALSE,,,,,2022-11-15,2022-10-28
245,Q-101,"KING PORTABLE BRINELL HARDNESS TESTER-CHAIN METHOD
(DIRECT / INDIRECT)",KING TESTER CORPORATION,"Load 3,000 kg",TD-38,MTD/CAL-25:2019 / ASTM E10-18,"Indirect - 3%, Direct - 1%",2022-06-07,1,Years,2023-06-07,Setsco,"CM-8500212461/mn/10/01
CM-8500212461/MN/10/01",QC BAY C ORANGE RACK L1,TRUE,,"0245510
6101305
0811886
8329
62164","0245510
6101305
0811886
SK-175093/20/1
12437 D-K-15106-01-00","14.12.2022
07.12.2022
24.10.2022
27.08.2022
13.10.2023",2022-11-15,2023-05-24
246,Q-110,"EXTERNAL PITCH DIAMETER GAUGE: 0"" - 16"" (ET-7004)",, 0'' - 16'',K13101 c/w DIAL INDICATOR S/N: LPV506,,,2013-02-19,1,Years,2014-02-19,,,QC GAUGE ROOM - O,HOLD,,,,,2022-11-15,2014-02-05
247,Q-111,"EXTERNAL PITCH DIAMETER GAUGE: 0"" - 16"" (ET-7005)",, 0'' - 16'',K13102 c/w DIAL INDICATOR S/N: LPV499,,,2013-02-19,1,Years,2014-02-19,,,QC GAUGE ROOM - O,HOLD,,,,,2022-11-15,2014-02-05
248,Q-112,TAPER GAUGE (EXTERNAL PITCH DIAMETER GAUGE -DIAL GAUGE),GAGEMAKER, 0'' - 0.5'',090505736,QCD/TRSG/PROCEDURE 011 / TRSG/QM/001/20,ASME/ANSI B89.1.10M,2022-09-02,1,Years,2023-09-02,TRESCAL,SALDM/1462/1/22,M/S GAUGE ROOM L1,TRUE,,,,,2022-11-15,2023-08-19
249,Q-113 & Q-113A,"RING GAUGE
(GO & NO GO)",THREADMASTER,"3"" - 4 STUB ACME - 2G",90645 & 90646,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-09-05,1,Years,2023-09-05,TRESCAL,SALDM/1462/14/22,QC GAUGE ROOM - H,TRUE,,,,,2022-11-15,2023-08-22
250,Q-114 & Q-114A,"PLUG GAUGE 
(GO & NO GO)",MERCURY GAGE,"3-1/4"" - 8 UN - 2B",GN 2175/ GN 2176,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-09-05,1,Years,2023-09-05,TRESCAL,SALDM/1462/10/22,QC GAUGE ROOM - D,TRUE,,,,,2022-11-15,2023-08-22
251,Q-115 & Q-115A,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"3.750"" - 4 STUB ACME - 2G",72362,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-09-05,1,Years,2023-09-05,TRESCAL,SALDM/1462/13/22,QC GAUGE ROOM - H,TRUE,,,,,2022-11-15,2023-08-22
252,Q-116 & Q-116A,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"4"" - 4 STUB ACME - 2G",72363,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-12-27,1,Years,2022-12-27,TRESCAL,SNLDM/0384/4/21,QC GAUGE ROOM - H,TRUE,,,,,2022-11-15,2022-12-13
253,Q-117 & Q-117A,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"6.500"" - 4 STUB ACME - 2G",72364,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-09-30,1,Years,2022-09-30,TRESCAL,SNLDM/0285/1/21,M/S GAUGE ROOM D1 & D2,FALSE,,,,,2022-11-15,2022-09-16
254,Q-120,DIAL CALIPER,MITUTOYO,"0"" - 12""",12548658,"QCD/TRSG/PROCEDURE 008 / TRSG/QM/001/20 / 
ANSI/ASME B1.2-1983","± 0.001""",2022-05-26,1,Years,2023-05-26,TRESCAL,SALDM/0826/4/22,Weld Shop  ( BAY B ),TRUE,,"18640 (E81)
515-565
--","SALDM/1010/2/21
SALDM/1681/2/21
SALDM/1883/2/21","11.08.2023
03.11.2022
22.11.2022",2022-11-15,2023-05-12
255,Q-121,VERNIER CALIPER,MITUTOYO," 0"" - 40""",12008794,MDCP-02:2020,BS 887 / JIS B 7507 OR PER MANUFACTURER SPECIFICATION,2021-10-14,1,Years,2022-10-14,Ming Deng,MDL213166-3,QC BAY C ORANGE RACK L4,FALSE,,,,,2022-11-15,2022-09-30
256,Q-124,DEPTH GAGE,MITUTOYO," 0"" - 40""",8008655,MDCP-08:2020,BS 6468 OR PER MANUFACTURER SPECIFICATION,2021-10-14,1,Years,2022-10-14,Ming Deng,MDL213166-17,QC BAY C ORANGE RACK L3,FALSE,,,,,2022-11-15,2022-09-30
257,Q-125,DIGITAL VERNIER CALIPER,MITUTOYO,"0"" - 24""",28755,MDCP-02:2020,BS 887 / JIS B 7507 OR PER MANUFACTURER SPECIFICATION,2021-12-29,1,Years,2022-12-29,Ming Deng,MDL214087-6,QC BAY C CABINET 2 L1,TRUE,,,,,2022-11-15,2022-12-15
258,Q-126,"MIC TRAC 0"" - 60""",GAGEMAKER,"0"" - 60""",A132990,REFER TO CERT,"± 0.0005""",2022-07-15,1,Years,2023-07-15,SUNRICH,Q-126-22,M/S GAUGE ROOM M,TRUE,,128457,NIST,29.10.2024,2022-11-15,2023-07-01
259,Q-127,PORTAMAG - PM6000,,-,60130110,,,2016-09-02,6,Months,2017-03-02,,,MPI BOOTH BAY A,HOLD,,,,,2022-11-15,2017-02-16
260,Q-129,WHITELIGHT METER,TES,-,121205855,QCD/TRSG/EP8 / TRSG/QM/001/20,±5%,2022-04-05,6,Months,2022-10-05,TRESCAL,SNLEL/0083/2/22,QC BAY C CABINET 2 L7,FALSE,,42421055/61411113,3563120003,14.05.2022,2022-11-15,2022-09-21
261,Q-133 & Q-133A,"RING GAUGE
(GO & NO GO)",THREADMASTER,"2"" - 8 UN - 2A",90604 & 90605,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-09-02,1,Years,2023-09-02,TRESCAL,SALDM/1462/15/22,QC GAUGE ROOM - C,TRUE,,,,,2022-11-15,2023-08-19
262,Q-134 & Q-134A,"RING GAUGE
(GO & NO GO)",THREADMASTER,"2-1/8"" - 8 UN - 2A",90606 & 90607,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-09-02,1,Years,2023-09-02,TRESCAL,SALDM/1462/16/22,QC GAUGE ROOM - C,TRUE,,,,,2022-11-15,2023-08-19
263,Q-140 & Q-140A,"RING GAUGE
(GO & NO GO)",TG,"4-3/4"" - 8 UN - 2A",90619 & 90620,CM/EMS/0195,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-09-02,1,Years,2022-09-02,TRESCAL,172134,QC GAUGE ROOM - C,FALSE,,,,,2022-11-15,2022-08-19
264,Q-143,GRANITE TABLE,,#N/A,01598,,,2013-01-19,5,Years,2018-01-19,,,QC GAUGE ROOM,HOLD,,,,,2022-11-15,2018-01-05
265,Q-145,FARO ARM (CMM),FARO,8 Ft,E09-05-12-43427,ASME B89.4.22-2004,REFER TO CERT,2022-07-18,1,Years,2023-07-18,FARO,E09051243427-20220717-1129,QC BAY C BESIDE COMPUTER DESK,TRUE,,,,,2022-11-15,2023-07-04
266,Q-148,EXTERNAL MICROMETER,MITUTOYO," 30"" - 36""",22007881,QCD/TRSG/PROCEDURE 005 / TRSG/QM/001/20,BS 870 / ISO 3611 OR PER MANUFACTURER SPECIFICATION,2021-12-28,1,Years,2022-12-28,TRESCAL,SALDM/2184/20/21,M/S GAUGE ROOM M5,TRUE,,,,,2022-11-15,2022-12-14
267,Q-150 & Q-150A,"PLUG GAUGE 
(GO & NO GO)",THREADMASTER,"5"" - 4 TPI STUB ACME - 2G",92815,QCD/TRSG/PROCEDURE 014 / TRSG/QM/001/20,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2021-11-08,1,Years,2022-11-08,TRESCAL,SNLDM/0322/6/21,QC GAUGE ROOM - H,FALSE,,,,,2022-11-15,2022-10-25
268,Q-152 & Q-152A,"RING GAUGE:5-1/4"" - 4 STUB ACME - 2G (GO & NO GO)",,#N/A,92813 & 92814,,,2020-12-30,1,Years,2021-12-30,,,QC GAUGE ROOM - H,HOLD,,,,,2022-11-15,2021-12-16
269,Q-153 & Q-153A,"RING GAUGE
(GO & NO GO)",THREADMASTER,"5"" - 4 STUB ACME - 2G",92811 & 92812,CM/EMS/0195,"ANSI/ASME B1.2
ANSI/ASME B1.8
ANSI/ASME B1.20.1
ANSI/ASME B1.5",2022-01-05,1,Years,2023-01-05,TRESCAL,135521,QC GAUGE ROOM - H,TRUE,,,,,2022-11-15,2022-12-22
